100 4950
1 2 0.5731047489412724
1 3 0.46557887740594583
1 4 0.7181008293369023
1 5 0.7485276769890075
1 6 0.9411632790431788
1 7 0.601449641375804
1 8 0.5946244224080841
1 9 0.08229447322338024
1 10 0.5845343223460326
1 11 0.2950953281368114
1 12 0.8227180303080766
1 13 0.3490355810026854
1 14 0.5767508557171184
1 15 0.9043348503044994
1 16 0.5254806329521201
1 17 0.8528451971184234
1 18 0.20657285223698563
1 19 0.9515031687080389
1 20 0.3847151884116128
1 21 0.06941639211238182
1 22 0.8616843406663314
1 23 0.11152335305082706
1 24 0.6263876545455246
1 25 0.7936087057591621
1 26 0.7216060816483918
1 27 0.3027949070906878
1 28 0.9226781240927167
1 29 0.6776185836670339
1 30 0.9241948768005837
1 31 0.04535846023728918
1 32 0.764458327095377
1 33 0.02452431207832162
1 34 0.16684735388147087
1 35 0.8929401323720813
1 36 0.9654365106019329
1 37 0.9844457944352095
1 38 0.557226352745758
1 39 0.5243224831970379
1 40 0.7086668966633036
1 41 0.898637502495394
1 42 0.748723033348047
1 43 0.5170481664902463
1 44 0.16824668558289868
1 45 0.9027839014582463
1 46 0.7362811724905711
1 47 0.735021472960355
1 48 0.7779790927009577
1 49 0.7027875272329195
1 50 0.5786569957933609
1 51 0.6990146081824916
1 52 0.8217770368545676
1 53 0.8850419928829507
1 54 0.6266708055728175
1 55 0.7118182063270337
1 56 0.15693612461399276
1 57 0.28950750066448705
1 58 0.7640736188768851
1 59 0.7840646078922123
1 60 0.5601815487492909
1 61 0.4693996368313248
1 62 0.7493370767654676
1 63 0.8057373049667211
1 64 0.7234536441714011
1 65 0.7993479351963019
1 66 0.3498717718684755
1 67 0.8596982849548431
1 68 0.9979786508997456
1 69 0.4966868598292702
1 70 0.6243053732608204
1 71 0.05958325968325828
1 72 0.9201473978073971
1 73 0.3862209797499736
1 74 0.010368505936057537
1 75 0.09984063552575195
1 76 0.3377720351708241
1 77 0.6738217615688097
1 78 0.28596343434459204
1 79 0.5739933732521836
1 80 0.983980502848822
1 81 0.6914787029683606
1 82 0.017995213841545565
1 83 0.7452194751851902
1 84 0.24902045825905061
1 85 0.9769789270801769
1 86 0.07100173117735986
1 87 0.3043100204755401
1 88 0.2796583556381087
1 89 0.15329336284598605
1 90 0.20765137518228372
1 91 0.7463360481184177
1 92 0.6885034048771269
1 93 0.5321668668679864
1 94 0.9530971096615896
1 95 0.2579141247129635
1 96 0.624543033975706
1 97 0.19324453913443917
1 98 0.5484173385417263
1 99 0.9314487236191545
1 100 0.47447788263081747
2 3 0.8257200021597881
2 4 0.41616338391190466
2 5 0.45359048182315187
2 6 0.06072615464626607
2 7 0.48140324037886095
2 8 0.5327484342559671
2 9 0.23280851250130363
2 10 0.9366909100688923
2 11 0.8558532275385442
2 12 0.9147203081919294
2 13 0.9539058126757077
2 14 0.9796671814173962
2 15 0.7768134170221217
2 16 0.5795117315378603
2 17 0.7900150072576023
2 18 0.95375757494778
2 19 0.24960326538169364
2 20 0.24114153759632562
2 21 0.2205387318731189
2 22 0.7690445476896458
2 23 0.18512469017732391
2 24 0.8540030346719238
2 25 0.11766105532240745
2 26 0.8995043692582506
2 27 0.3517831232141271
2 28 0.6307800586988489
2 29 0.9237742578788315
2 30 0.10098895703961741
2 31 0.8836838303611185
2 32 0.8054695204226024
2 33 0.5527558128389628
2 34 0.2570405219185995
2 35 0.9641727534044988
2 36 0.37441172166694936
2 37 0.4670425684137518
2 38 0.28600665883894993
2 39 0.8118848759916378
2 40 0.815777203012864
2 41 0.7484064044284389
2 42 0.907815605944908
2 43 0.5511796859861208
2 44 0.43490771044170184
2 45 0.2823676877573411
2 46 0.9901165544779882
2 47 0.9693834165285673
2 48 0.2850939120697755
2 49 0.16675151032493163
2 50 0.7519094638557763
2 51 0.8747114034243306
2 52 0.8787423567972109
2 53 0.7345352968981058
2 54 0.14602373163773008
